BatchNumber,MachineNumber,ProductCode,TimeStarted,TimeStopped,NumberProduced,NumberRejected
3830,1,18,2009-01-01 08:25:00,2009-01-01 14:30:00,3916,41
3830,2,27,2009-01-01 08:38:00,2009-01-01 13:33:00,4640,49
3830,3,58,2009-01-01 08:52:00,2009-01-01 12:37:00,1289,13
3831,4,45,2009-01-01 08:52:00,2009-01-01 16:27:00,2607,27
3831,5,49,2009-01-01 09:06:00,2009-01-01 15:31:00,2206,23
3832,6,21,2009-01-01 09:06:00,2009-01-01 14:21:00,3380,36
3833,1,21,2009-01-02 09:19:00,2009-01-02 14:34:00,3380,36
3833,2,26,2009-01-02 09:19:00,2009-01-02 12:14:00,2753,29
3833,3,57,2009-01-02 09:33:00,2009-01-02 12:28:00,1003,10
3834,4,44,2009-01-02 09:33:00,2009-01-02 12:33:00,1028,11
3834,5,43,2009-01-02 08:07:00,2009-01-02 09:57:00,628,6
3835,6,16,2009-01-02 08:07:00,2009-01-02 09:57:00,1178,12
3836,1,16,2009-01-03 08:52:00,2009-01-03 09:37:00,482,5
3836,2,25,2009-01-03 08:52:00,2009-01-03 09:37:00,707,7
3836,3,57,2009-01-03 08:34:00,2009-01-03 16:29:00,2714,29
3837,4,43,2009-01-03 08:34:00,2009-01-03 15:19:00,2314,24
3837,5,47,2009-01-03 08:48:00,2009-01-03 15:33:00,2314,24
3838,6,2,2009-01-03 08:48:00,2009-01-03 14:28:00,3643,39
3839,1,2,2009-01-06 08:03:00,2009-01-06 10:23:00,1500,16
3839,2,32,2009-01-06 08:43:00,2009-01-06 11:03:00,2200,23
3839,3,37,2009-01-06 08:43:00,2009-01-06 09:53:00,400,4
3840,4,55,2009-01-06 08:57:00,2009-01-06 10:07:00,400,4
3840,5,41,2009-01-06 08:57:00,2009-01-06 10:47:00,628,6
3841,6,14,2009-01-06 09:11:00,2009-01-06 16:26:00,4662,49
3842,1,14,2009-01-07 08:25:00,2009-01-07 15:40:00,4662,49
3842,2,32,2009-01-07 08:39:00,2009-01-07 14:44:00,5736,61
3842,3,36,2009-01-07 08:39:00,2009-01-07 14:44:00,2086,22
3843,4,54,2009-01-07 08:53:00,2009-01-07 13:48:00,1686,18
3843,5,58,2009-01-07 08:53:00,2009-01-07 12:43:00,1315,14
3844,6,17,2009-01-07 09:06:00,2009-01-07 12:56:00,2465,26
3845,1,17,2009-01-08 09:06:00,2009-01-08 11:46:00,1714,18
3845,2,26,2009-01-08 09:38:00,2009-01-08 12:18:00,2514,26
3845,3,57,2009-01-08 09:38:00,2009-01-08 11:08:00,514,5
3846,4,44,2009-01-08 08:03:00,2009-01-08 08:28:00,142,1
3846,5,43,2009-01-08 08:24:00,2009-01-08 08:49:00,142,1
3847,6,16,2009-01-08 08:24:00,2009-01-08 15:59:00,4876,52
3848,1,16,2009-01-09 08:54:00,2009-01-09 16:29:00,4877,52
3848,2,25,2009-01-09 08:54:00,2009-01-09 15:19:00,6051,64
